Date,"Deshaun Watson"
2016-01-09,2176
2016-01-10,1873
2016-01-11,5327
2016-01-12,129322
2016-01-13,9183
2016-01-14,4168
2016-01-15,2388
2016-01-16,1603
2016-01-17,1715
2016-01-18,1198
2016-01-19,914
2016-01-20,811
2016-01-21,608
2016-01-22,560
2016-01-23,619
2016-01-24,563
2016-01-25,961
2016-01-26,609
2016-01-27,553
2016-01-28,741
2016-01-29,513
2016-01-30,468
2016-01-31,397
2016-02-01,437
2016-02-02,464
2016-02-03,548
2016-02-04,478
2016-02-05,451
2016-02-06,426
2016-02-07,518
2016-02-08,619
2016-02-09,398
2016-02-10,365
2016-02-11,368
2016-02-12,321
2016-02-13,252
2016-02-14,249
2016-02-15,335
2016-02-16,658
2016-02-17,292
2016-02-18,294
2016-02-19,290
2016-02-20,332
2016-02-21,263
2016-02-22,245
2016-02-23,263
2016-02-24,317
2016-02-25,277
2016-02-26,313
2016-02-27,403
2016-02-28,313
2016-02-29,304
2016-03-01,315
2016-03-02,292
2016-03-03,286
2016-03-04,192
2016-03-05,216
2016-03-06,209
2016-03-07,258
2016-03-08,248
2016-03-09,361
2016-03-10,345
2016-03-11,362
2016-03-12,314
2016-03-13,256
2016-03-14,289
2016-03-15,245
2016-03-16,255
2016-03-17,279
2016-03-18,260
2016-03-19,222
2016-03-20,251
2016-03-21,332
2016-03-22,245
2016-03-23,208
2016-03-24,273
2016-03-25,244
2016-03-26,224
2016-03-27,250
2016-03-28,290
2016-03-29,313
2016-03-30,254
2016-03-31,203
2016-04-01,328
2016-04-02,226
2016-04-03,353
2016-04-04,249
2016-04-05,306
2016-04-06,342
2016-04-07,392
2016-04-08,273
2016-04-09,478
2016-04-10,284
2016-04-11,282
2016-04-12,363
2016-04-13,253
2016-04-14,524
2016-04-15,627
2016-04-16,410
2016-04-17,329
2016-04-18,472
2016-04-19,455
2016-04-20,1048
2016-04-21,847
2016-04-22,584
2016-04-23,387
2016-04-24,344
2016-04-25,411
2016-04-26,516
2016-04-27,486
2016-04-28,739
2016-04-29,1741
2016-04-30,1597
2016-05-01,910
2016-05-02,1252
2016-05-03,899
2016-05-04,796
2016-05-05,739
2016-05-06,512
2016-05-07,445
2016-05-08,354
2016-05-09,430
2016-05-10,397
2016-05-11,477
2016-05-12,339
2016-05-13,345
2016-05-14,244
2016-05-15,288
2016-05-16,510
2016-05-17,406
2016-05-18,335
2016-05-19,240
2016-05-20,261
2016-05-21,256
2016-05-22,246
2016-05-23,239
2016-05-24,238
2016-05-25,230
2016-05-26,187
2016-05-27,203
2016-05-28,136
2016-05-29,181
2016-05-30,211
2016-05-31,229
2016-06-01,247
2016-06-02,273
2016-06-03,185
2016-06-04,272
2016-06-05,190
2016-06-06,230
2016-06-07,194
2016-06-08,268
2016-06-09,289
2016-06-10,279
2016-06-11,155
2016-06-12,180
2016-06-13,174
2016-06-14,166
2016-06-15,175
2016-06-16,175
2016-06-17,200
2016-06-18,194
2016-06-19,195
2016-06-20,243
2016-06-21,275
2016-06-22,217
2016-06-23,168
2016-06-24,178
2016-06-25,233
2016-06-26,233
2016-06-27,234
2016-06-28,303
2016-06-29,219
2016-06-30,214
2016-07-01,195
2016-07-02,192
2016-07-03,191
2016-07-04,412
2016-07-05,255
2016-07-06,328
2016-07-07,407
2016-07-08,216
2016-07-09,197
2016-07-10,202
2016-07-11,267
2016-07-12,232
2016-07-13,333
2016-07-14,372
2016-07-15,389
2016-07-16,244
2016-07-17,228
2016-07-18,306
2016-07-19,837
2016-07-20,1475
2016-07-21,587
2016-07-22,662
2016-07-23,490
2016-07-24,415
2016-07-25,773
2016-07-26,584
2016-07-27,1937
2016-07-28,688
2016-07-29,498
2016-07-30,530
2016-07-31,665
2016-08-01,477
2016-08-02,590
2016-08-03,710
2016-08-04,467
2016-08-05,625
2016-08-06,470
2016-08-07,504
2016-08-08,826
2016-08-09,667
2016-08-10,567
2016-08-11,495
2016-08-12,426
2016-08-13,517
2016-08-14,480
2016-08-15,585
2016-08-16,520
2016-08-17,979
2016-08-18,1110
2016-08-19,648
2016-08-20,518
2016-08-21,518
2016-08-22,1420
2016-08-23,1969
2016-08-24,1094
2016-08-25,1002
2016-08-26,1259
2016-08-27,1130
2016-08-28,1220
2016-08-29,1254
2016-08-30,1415
2016-08-31,1158
2016-09-01,1278
2016-09-02,1603
2016-09-03,2875
2016-09-04,8703
2016-09-05,1678
2016-09-06,1524
2016-09-07,879
2016-09-08,712
2016-09-09,618
2016-09-10,1848
2016-09-11,1023
2016-09-12,1132
2016-09-13,1128
2016-09-14,861
2016-09-15,646
2016-09-16,670
2016-09-17,1409
2016-09-18,1209
2016-09-19,845
2016-09-20,1115
2016-09-21,639
2016-09-22,1138
2016-09-23,2265
2016-09-24,882
2016-09-25,1002
2016-09-26,1047
2016-09-27,865
2016-09-28,959
2016-09-29,847
2016-09-30,1109
2016-10-01,1930
2016-10-02,11165
2016-10-03,1408
2016-10-04,1127
2016-10-05,735
2016-10-06,649
2016-10-07,805
2016-10-08,1978
2016-10-09,1116
2016-10-10,769
2016-10-11,653
2016-10-12,506
2016-10-13,498
2016-10-14,472
2016-10-15,2294
2016-10-16,1045
2016-10-17,666
2016-10-18,657
2016-10-19,601
2016-10-20,343
2016-10-21,555
2016-10-22,732
2016-10-23,751
2016-10-24,637
2016-10-25,470
2016-10-26,463
2016-10-27,386
2016-10-28,577
2016-10-29,745
2016-10-30,4574
2016-10-31,820
2016-11-01,732
2016-11-02,626
2016-11-03,433
2016-11-04,525
2016-11-05,2040
2016-11-06,1219
2016-11-07,849
2016-11-08,1177
2016-11-09,778
2016-11-10,504
2016-11-11,593
2016-11-12,2037
2016-11-13,1643
2016-11-14,793
2016-11-15,643
2016-11-16,572
2016-11-17,452
2016-11-18,656
2016-11-19,634
2016-11-20,1439
2016-11-21,676
2016-11-22,620
2016-11-23,490
2016-11-24,548
2016-11-25,747
2016-11-26,1095
2016-11-27,6133
2016-11-28,1229
2016-11-29,1001
2016-11-30,917
2016-12-01,677
2016-12-02,651
2016-12-03,1158
2016-12-04,7696
2016-12-05,1884
2016-12-06,2152
2016-12-07,1213
2016-12-08,1047
2016-12-09,2624
2016-12-10,3330
2016-12-11,11694
2016-12-12,2694
2016-12-13,1554
2016-12-14,1148
2016-12-15,1024
2016-12-16,1078
2016-12-17,844
2016-12-18,826
2016-12-19,1138
2016-12-20,1356
2016-12-21,900
2016-12-22,751
2016-12-23,813
2016-12-24,887
2016-12-25,746
2016-12-26,840
2016-12-27,1076
2016-12-28,1292
2016-12-29,1651
2016-12-30,1699
2016-12-31,3926
2017-01-01,33172
2017-01-02,4263
2017-01-03,3419
2017-01-04,2636
2017-01-05,2194
2017-01-06,2305
2017-01-07,2704
2017-01-08,2626
2017-01-09,10076
2017-01-10,211908
2017-01-11,26461
2017-01-12,8033
2017-01-13,4456
2017-01-14,4472
2017-01-15,3797
2017-01-16,2789
2017-01-17,2279
2017-01-18,2030
2017-01-19,2174
2017-01-20,1680
2017-01-21,1733
2017-01-22,1866
2017-01-23,2242
2017-01-24,2184
2017-01-25,4700
2017-01-26,1808
2017-01-27,1368
2017-01-28,1208
2017-01-29,1158
2017-01-30,1130
2017-01-31,869
2017-02-01,1125
2017-02-02,1319
2017-02-03,1493
2017-02-04,1066
2017-02-05,1212
2017-02-06,1524
2017-02-07,1175
2017-02-08,1389
2017-02-09,1279
2017-02-10,1125
2017-02-11,1054
2017-02-12,937
2017-02-13,911
2017-02-14,944
2017-02-15,1177
2017-02-16,942
2017-02-17,785
2017-02-18,644
2017-02-19,646
2017-02-20,752
2017-02-21,984
2017-02-22,1121
2017-02-23,1234
2017-02-24,836
2017-02-25,683
2017-02-26,852
2017-02-27,779
2017-02-28,796
2017-03-01,875
2017-03-02,1036
2017-03-03,1196
2017-03-04,1851
2017-03-05,1903
2017-03-06,1553
2017-03-07,1254
2017-03-08,1038
2017-03-09,1216
2017-03-10,1309
2017-03-11,917
2017-03-12,746
2017-03-13,782
2017-03-14,826
2017-03-15,808
2017-03-16,1428
2017-03-17,1058
2017-03-18,714
2017-03-19,674
2017-03-20,684
2017-03-21,770
2017-03-22,811
2017-03-23,1757
2017-03-24,1178
2017-03-25,600
2017-03-26,644
2017-03-27,692
2017-03-28,610
2017-03-29,768
2017-03-30,645
2017-03-31,665
2017-04-01,2267
2017-04-02,1821
2017-04-03,1007
2017-04-04,939
2017-04-05,763
2017-04-06,761
2017-04-07,1468
2017-04-08,1064
2017-04-09,1395
2017-04-10,715
2017-04-11,731
2017-04-12,1295
2017-04-13,1022
2017-04-14,1115
2017-04-15,1118
2017-04-16,667
2017-04-17,983
2017-04-18,944
2017-04-19,870
2017-04-20,824
2017-04-21,2394
2017-04-22,2032
2017-04-23,1302
2017-04-24,1584
2017-04-25,3009
2017-04-26,3676
2017-04-27,8187
2017-04-28,74089
2017-04-29,17232
2017-04-30,13449
2017-05-01,9501
2017-05-02,6902
2017-05-03,5202
2017-05-04,3192
2017-05-05,2637
2017-05-06,3620
2017-05-07,2072
2017-05-08,2212
2017-05-09,1608
2017-05-10,1509
2017-05-11,1303
2017-05-12,1485
2017-05-13,1450
2017-05-14,1526
2017-05-15,1360
2017-05-16,1119
2017-05-17,1036
2017-05-18,967
2017-05-19,841
2017-05-20,858
2017-05-21,1019
2017-05-22,924
2017-05-23,972
2017-05-24,835
2017-05-25,813
2017-05-26,726
2017-05-27,759
2017-05-28,825
2017-05-29,772
2017-05-30,709
2017-05-31,736
2017-06-01,710
2017-06-02,771
2017-06-03,600
2017-06-04,654
2017-06-05,644
2017-06-06,675
2017-06-07,669
2017-06-08,588
2017-06-09,578
2017-06-10,487
2017-06-11,565
2017-06-12,1155
2017-06-13,925
2017-06-14,685
2017-06-15,678
2017-06-16,631
2017-06-17,695
2017-06-18,773
2017-06-19,719
2017-06-20,625
2017-06-21,565
2017-06-22,608
2017-06-23,622
2017-06-24,546
2017-06-25,547
2017-06-26,626
2017-06-27,507
2017-06-28,465
2017-06-29,602
2017-06-30,539
2017-07-01,498
2017-07-02,496
2017-07-03,579
2017-07-04,463
2017-07-05,520
2017-07-06,728
2017-07-07,631
2017-07-08,713
2017-07-09,589
2017-07-10,628
2017-07-11,684
2017-07-12,838
2017-07-13,1404
2017-07-14,850
2017-07-15,648
2017-07-16,658
2017-07-17,716
2017-07-18,664
2017-07-19,1004
2017-07-20,983
2017-07-21,855
2017-07-22,869
2017-07-23,817
2017-07-24,880
2017-07-25,1018
2017-07-26,1074
2017-07-27,1179
2017-07-28,960
2017-07-29,938
2017-07-30,1290
2017-07-31,1261
2017-08-01,1249
2017-08-02,1707
2017-08-03,1507
2017-08-04,1627
2017-08-05,1097
2017-08-06,994
2017-08-07,1342
2017-08-08,1522
2017-08-09,2797
2017-08-10,16988
2017-08-11,3558
2017-08-12,1815
2017-08-13,1617
2017-08-14,1509
2017-08-15,1343
2017-08-16,1572
2017-08-17,1542
2017-08-18,1325
2017-08-19,1491
2017-08-20,5473
2017-08-21,1786
2017-08-22,2157
2017-08-23,1185
2017-08-24,1059
2017-08-25,1221
2017-08-26,1219
2017-08-27,2336
2017-08-28,1337
2017-08-29,1220
2017-08-30,1233
2017-08-31,1179
2017-09-01,1571
2017-09-02,4317
2017-09-03,3419
2017-09-04,1730
2017-09-05,1598
2017-09-06,1169
2017-09-07,1237
2017-09-08,1333
2017-09-09,2529
2017-09-10,15470
2017-09-11,5136
2017-09-12,2602
2017-09-13,2954
2017-09-14,8915
2017-09-15,62331
2017-09-16,6291
2017-09-17,6720
2017-09-18,2459
2017-09-19,1870
2017-09-20,1456
2017-09-21,1369
2017-09-22,1493
2017-09-23,1668
2017-09-24,19679
2017-09-25,5983
2017-09-26,2672
2017-09-27,2248
2017-09-28,16465
2017-09-29,6411
2017-09-30,3252
2017-10-01,22299
2017-10-02,20825
2017-10-03,6933
2017-10-04,4392
2017-10-05,3959
2017-10-06,4029
2017-10-07,3269
2017-10-08,6750
2017-10-09,41785
2017-10-10,6229
2017-10-11,3250
2017-10-12,2645
2017-10-13,2601
2017-10-14,2738
2017-10-15,9800
2017-10-16,8354
2017-10-17,4217
2017-10-18,2361
2017-10-19,2246
2017-10-20,2281
2017-10-21,2201
2017-10-22,2833
2017-10-23,2396
2017-10-24,2326
2017-10-25,1711
2017-10-26,1526
2017-10-27,1657
2017-10-28,1826
2017-10-29,23716
2017-10-30,24655
2017-10-31,9095
2017-11-01,5461
2017-11-02,16265
2017-11-03,20171
2017-11-04,5987
2017-11-05,6870
2017-11-06,3350
2017-11-07,2546
2017-11-08,1887
2017-11-09,1790
2017-11-10,1596
2017-11-11,1736
2017-11-12,2884
2017-11-13,2528
2017-11-14,1854
2017-11-15,1586
2017-11-16,1367
2017-11-17,1668
2017-11-18,1347
2017-11-19,2097
2017-11-20,1861
2017-11-21,1328
2017-11-22,1228
2017-11-23,1414
2017-11-24,1525
2017-11-25,2025
2017-11-26,3052
2017-11-27,2048
2017-11-28,5580
2017-11-29,1790
2017-11-30,1380
2017-12-01,1336
2017-12-02,1476
2017-12-03,5177
2017-12-04,2417
2017-12-05,1784
2017-12-06,1608
2017-12-07,1879
2017-12-08,1889
2017-12-09,1399
2017-12-10,3061
2017-12-11,2600
2017-12-12,1796
2017-12-13,1308
2017-12-14,1268
2017-12-15,1117
2017-12-16,1036
2017-12-17,4275
2017-12-18,1576
2017-12-19,1399
2017-12-20,1276
2017-12-21,1099
2017-12-22,1140
2017-12-23,1134
2017-12-24,6635
2017-12-25,5057
2017-12-26,3220
2017-12-27,2146
2017-12-28,2256
2017-12-29,2060
2017-12-30,3244
2017-12-31,3031
2018-01-01,4224
2018-01-02,26245
2018-01-03,3716
2018-01-04,2746
2018-01-05,2722
2018-01-06,2350
2018-01-07,3205
2018-01-08,2847
2018-01-09,6425
2018-01-10,2067
2018-01-11,1443
2018-01-12,1311
2018-01-13,1287
2018-01-14,2283
2018-01-15,1496
2018-01-16,1154
2018-01-17,1206
2018-01-18,1293
2018-01-19,1124
2018-01-20,1031
2018-01-21,1437
2018-01-22,1637
2018-01-23,1122
2018-01-24,1005
2018-01-25,1026
2018-01-26,900
2018-01-27,902
2018-01-28,908
2018-01-29,903
2018-01-30,871
2018-01-31,1680
2018-02-01,1235
2018-02-02,2226
2018-02-03,1725
2018-02-04,2053
2018-02-05,1959
2018-02-06,1796
2018-02-07,1235
2018-02-08,1092
2018-02-09,928
2018-02-10,846
2018-02-11,865
2018-02-12,1002
2018-02-13,834
2018-02-14,781
2018-02-15,763
2018-02-16,717
2018-02-17,664
2018-02-18,620
2018-02-19,760
2018-02-20,960
2018-02-21,877
2018-02-22,782
2018-02-23,732
2018-02-24,624
2018-02-25,702
2018-02-26,810
2018-02-27,910
2018-02-28,876
2018-03-01,856
2018-03-02,1030
2018-03-03,1300
2018-03-04,1013
2018-03-05,1007
2018-03-06,893
2018-03-07,909
2018-03-08,794
2018-03-09,1042
2018-03-10,1049
2018-03-11,813
2018-03-12,814
2018-03-13,1221
2018-03-14,1076
2018-03-15,1132
2018-03-16,936
2018-03-17,1249
2018-03-18,961
2018-03-19,1138
2018-03-20,1148
2018-03-21,1084
2018-03-22,1099
2018-03-23,921
2018-03-24,704
2018-03-25,742
2018-03-26,1495
2018-03-27,1189
2018-03-28,967
2018-03-29,1178
2018-03-30,1046
2018-03-31,782
2018-04-01,663
2018-04-02,886
2018-04-03,1010
2018-04-04,1189
2018-04-05,867
2018-04-06,1187
2018-04-07,756
2018-04-08,855
2018-04-09,778
2018-04-10,750
2018-04-11,704
2018-04-12,871
2018-04-13,871
2018-04-14,752
2018-04-15,718
2018-04-16,744
2018-04-17,865
2018-04-18,1074
2018-04-19,986
2018-04-20,968
2018-04-21,745
2018-04-22,862
2018-04-23,964
2018-04-24,1259
2018-04-25,1347
2018-04-26,2158
2018-04-27,6380
2018-04-28,2183
2018-04-29,1519
2018-04-30,1538
2018-05-01,1117
2018-05-02,1012
2018-05-03,922
2018-05-04,816
2018-05-05,769
2018-05-06,693
2018-05-07,803
2018-05-08,687
2018-05-09,655
2018-05-10,587
2018-05-11,541
2018-05-12,530
2018-05-13,545
2018-05-14,826
2018-05-15,780
2018-05-16,735
2018-05-17,653
2018-05-18,618
2018-05-19,577
2018-05-20,600
2018-05-21,620
2018-05-22,698
2018-05-23,781
2018-05-24,570
2018-05-25,558
2018-05-26,485
2018-05-27,504
2018-05-28,558
2018-05-29,1774
2018-05-30,956
2018-05-31,885
2018-06-01,535
2018-06-02,782
2018-06-03,591
2018-06-04,665
2018-06-05,507
2018-06-06,508
2018-06-07,440
2018-06-08,354
2018-06-09,347
2018-06-10,402
2018-06-11,454
2018-06-12,536
2018-06-13,731
2018-06-14,721
2018-06-15,645
2018-06-16,437
2018-06-17,427
2018-06-18,446
2018-06-19,497
2018-06-20,440
2018-06-21,554
2018-06-22,477
2018-06-23,382
2018-06-24,466
2018-06-25,467
2018-06-26,581
2018-06-27,607
2018-06-28,562
2018-06-29,526
2018-06-30,451
2018-07-01,435
2018-07-02,413
2018-07-03,362
2018-07-04,342
2018-07-05,416
2018-07-06,502
2018-07-07,430
2018-07-08,439
2018-07-09,476
2018-07-10,485
2018-07-11,492
2018-07-12,476
2018-07-13,540
2018-07-14,532
2018-07-15,538
2018-07-16,676
2018-07-17,725
2018-07-18,720
2018-07-19,668
2018-07-20,794
2018-07-21,548
2018-07-22,682
2018-07-23,981
2018-07-24,858
2018-07-25,858
2018-07-26,957
2018-07-27,1065
2018-07-28,738
2018-07-29,718
2018-07-30,797
2018-07-31,805
2018-08-01,859
2018-08-02,1121
2018-08-03,1509
2018-08-04,1064
2018-08-05,1036
2018-08-06,1206
2018-08-07,1248
2018-08-08,1381
2018-08-09,1701
2018-08-10,2078
2018-08-11,1288
2018-08-12,1281
2018-08-13,1386
2018-08-14,1358
2018-08-15,2255
2018-08-16,2099
2018-08-17,1852
2018-08-18,1455
2018-08-19,3320
2018-08-20,1950
2018-08-21,2120
2018-08-22,2098
2018-08-23,2432
2018-08-24,2417
2018-08-25,2194
2018-08-26,2039
2018-08-27,1860
2018-08-28,1716
2018-08-29,1659
2018-08-30,1765
2018-08-31,2075
2018-09-01,2090
2018-09-02,2151
2018-09-03,1954
2018-09-04,2163
2018-09-05,2285
2018-09-06,2488
2018-09-07,2457
2018-09-08,3162
2018-09-09,17604
2018-09-10,3882
2018-09-11,1916
2018-09-12,1321
2018-09-13,1369
2018-09-14,2077
2018-09-15,1532
2018-09-16,3776
2018-09-17,2558
2018-09-18,2341
2018-09-19,2257
2018-09-20,1951
2018-09-21,1801
2018-09-22,1878
2018-09-23,5471
2018-09-24,2908
2018-09-25,1995
2018-09-26,3260
2018-09-27,1996
2018-09-28,1401
2018-09-29,2289
2018-09-30,5989
2018-10-01,2349
2018-10-02,2253
2018-10-03,1188
2018-10-04,1268
2018-10-05,1079
2018-10-06,1144
2018-10-07,2096
2018-10-08,31389
2018-10-09,2502
2018-10-10,1299
2018-10-11,1198
2018-10-12,1205
2018-10-13,1297
2018-10-14,2969
2018-10-15,2804
2018-10-16,1177
2018-10-17,784
2018-10-18,772
2018-10-19,780
2018-10-20,1111
2018-10-21,2354
2018-10-22,3385
2018-10-23,1419
2018-10-24,1118
2018-10-25,2169
2018-10-26,25920
2018-10-27,3334
2018-10-28,2508
2018-10-29,1920
2018-10-30,1788
2018-10-31,1633
2018-11-01,1148
2018-11-02,1270
2018-11-03,1465
2018-11-04,3819
2018-11-05,2791
2018-11-06,1903
2018-11-07,1098
2018-11-08,1011
2018-11-09,1044
2018-11-10,1012
2018-11-11,1899
2018-11-12,1317
2018-11-13,1148
2018-11-14,971
2018-11-15,855
2018-11-16,955
2018-11-17,758
2018-11-18,3363
2018-11-19,1908
2018-11-20,1961
2018-11-21,979
2018-11-22,1226
2018-11-23,1167
2018-11-24,1269
2018-11-25,2235
2018-11-26,1907
2018-11-27,26627
2018-11-28,2958
2018-11-29,2058
2018-11-30,1758
2018-12-01,1410
2018-12-02,6080
2018-12-03,3282
2018-12-04,2054
2018-12-05,2183
2018-12-06,1510
2018-12-07,1859
2018-12-08,1822
2018-12-09,3947
2018-12-10,1736
2018-12-11,1259
2018-12-12,1096
2018-12-13,1148
2018-12-14,1802
2018-12-15,3749
2018-12-16,4960
2018-12-17,2164
2018-12-18,1571
2018-12-19,1521
2018-12-20,1287
2018-12-21,979
2018-12-22,873
2018-12-23,8723
2018-12-24,3694
2018-12-25,1580
2018-12-26,1832
2018-12-27,1936
2018-12-28,1586
2018-12-29,4056
2018-12-30,11462
2018-12-31,5869
2019-01-01,2933
2019-01-02,4157
2019-01-03,3368
2019-01-04,3884
2019-01-05,28308
2019-01-06,20816
2019-01-07,4801
2019-01-08,34841
2019-01-09,6536
2019-01-10,2907
2019-01-11,1718
2019-01-12,2308
2019-01-13,2656
2019-01-14,1674
2019-01-15,1525
2019-01-16,1419
2019-01-17,2015
2019-01-18,1657
2019-01-19,952
2019-01-20,1425
2019-01-21,3823
2019-01-22,2090
2019-01-23,1499
2019-01-24,1274
2019-01-25,1691
2019-01-26,1217
2019-01-27,2631
2019-01-28,2133
2019-01-29,2235
2019-01-30,2203
2019-01-31,1340
2019-02-01,945
2019-02-02,940
2019-02-03,1464
2019-02-04,1580
2019-02-05,1051
2019-02-06,893
2019-02-07,794
2019-02-08,705
2019-02-09,708
2019-02-10,686
2019-02-11,778
2019-02-12,777
2019-02-13,834
2019-02-14,654
2019-02-15,596
2019-02-16,489
2019-02-17,558
2019-02-18,619
2019-02-19,608
2019-02-20,575
2019-02-21,575
2019-02-22,477
2019-02-23,602
2019-02-24,649
2019-02-25,637
2019-02-26,582
2019-02-27,680
2019-02-28,2116
2019-03-01,644
2019-03-02,707
2019-03-03,684
2019-03-04,647
2019-03-05,642
2019-03-06,665
2019-03-07,552
2019-03-08,580
2019-03-09,468
2019-03-10,574
2019-03-11,622
2019-03-12,634
2019-03-13,1000
2019-03-14,840
2019-03-15,726
2019-03-16,754
2019-03-17,671
2019-03-18,651
2019-03-19,683
2019-03-20,728
2019-03-21,642
2019-03-22,589
2019-03-23,540
2019-03-24,573
2019-03-25,518
2019-03-26,634
2019-03-27,549
2019-03-28,591
2019-03-29,461
2019-03-30,424
2019-03-31,458
2019-04-01,415
2019-04-02,512
2019-04-03,498
2019-04-04,477
2019-04-05,558
2019-04-06,623
2019-04-07,605
2019-04-08,516
2019-04-09,588
2019-04-10,464
2019-04-11,451
2019-04-12,523
2019-04-13,529
2019-04-14,609
2019-04-15,674
2019-04-16,693
2019-04-17,646
2019-04-18,601
2019-04-19,589
2019-04-20,636
2019-04-21,649
2019-04-22,734
2019-04-23,666
2019-04-24,698
2019-04-25,1200
2019-04-26,2518
2019-04-27,1606
2019-04-28,1048
2019-04-29,934
2019-04-30,751
2019-05-01,784
2019-05-02,796
2019-05-03,757
2019-05-04,624
2019-05-05,662
2019-05-06,729
2019-05-07,752
2019-05-08,719
2019-05-09,601
2019-05-10,526
2019-05-11,577
2019-05-12,662
2019-05-13,614
2019-05-14,591
2019-05-15,603
2019-05-16,531
2019-05-17,545
2019-05-18,503
2019-05-19,597
2019-05-20,465
2019-05-21,483
2019-05-22,540
2019-05-23,481
2019-05-24,592
2019-05-25,716
2019-05-26,577
2019-05-27,516
2019-05-28,456
2019-05-29,484
2019-05-30,418
2019-05-31,298
2019-06-01,311
2019-06-02,333
2019-06-03,330
2019-06-04,347
2019-06-05,445
2019-06-06,475
2019-06-07,589
2019-06-08,447
2019-06-09,415
2019-06-10,463
2019-06-11,498
2019-06-12,430
2019-06-13,426
2019-06-14,377
2019-06-15,375
2019-06-16,405
2019-06-17,411
2019-06-18,483
2019-06-19,521
2019-06-20,499
2019-06-21,530
2019-06-22,519
2019-06-23,526
2019-06-24,593
2019-06-25,577
2019-06-26,1136
2019-06-27,805
2019-06-28,752
2019-06-29,480
2019-06-30,396
2019-07-01,392
2019-07-02,400
2019-07-03,394
2019-07-04,391
2019-07-05,379
2019-07-06,453
2019-07-07,403
2019-07-08,434
2019-07-09,645
2019-07-10,539
2019-07-11,558
2019-07-12,570
2019-07-13,589
2019-07-14,559
2019-07-15,635
2019-07-16,809
2019-07-17,683
2019-07-18,570
2019-07-19,551
2019-07-20,584
2019-07-21,511
2019-07-22,714
